Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,0,0,0,0,0,0,0,0,0,0,0,"15,687"
2005,"9,303","13,325","16,201","16,637","16,412","15,997","17,216","16,201","12,347","12,116","12,292","16,228"
2006,"10,257","12,418","16,529","16,850","16,887","15,552","18,322","18,773","13,790","11,172","11,338","16,031"
2007,"11,165","12,376","13,805","12,241","15,235","15,516","14,141","19,324","16,464","14,451","13,421","14,907"
2008,"8,746","11,690","13,261","13,000","12,966","12,602","13,123","15,546","10,783","9,208","7,294","6,950"
2009,"5,399","6,692","8,156","9,510","12,127","14,670","6,785","8,904","5,735","6,783","6,406","8,966"
2010,"4,863","7,452","10,670","10,628","9,683","9,271","9,711","9,306","7,691","9,955","8,805","10,147"
2011,"7,022","8,744","10,586","9,954","9,428","7,234","6,332","7,903","8,818","10,415","9,143","11,489"
2012,"6,898","19,132","11,193","10,476","12,348","11,275","11,953","12,750","11,365","9,172","9,318","9,126"
2013,"6,760","8,550","10,923","11,832","14,200","14,207","13,261","11,064","7,714","8,968","9,401","12,107"
2014,"7,879","8,945","11,008","11,639","12,915","10,911","10,906","12,488","8,769","8,271","8,639","10,368"
2015,"7,870","8,076","11,142","11,092","12,835","11,621","12,851","13,423","9,924","8,746","8,356","11,800"
2016,"7,221","8,994","11,224","13,047","12,212","11,963","11,228","9,992","8,954","7,622","7,978","10,411"
2017,"6,500","6,800","7,727","6,984","8,999","11,146","10,134","8,709","8,310","7,301","7,823","9,874"
2018,"6,100","7,034","9,873","8,464","9,861","9,923","9,269","9,887","8,878","8,403","8,123","10,512"
